date,AAPL,MSFT,NVDA,AMZN
2020-01-02,72.33386993408203,151.82952880859375,5.963802814483643,94.90049743652344
2020-01-03,71.63066101074219,149.93899536132812,5.868348121643066,93.74849700927734
2020-01-06,72.201416015625,150.32656860351562,5.892956733703613,95.14399719238281
2020-01-07,71.86183166503906,148.9558868408203,5.964300632476807,95.34300231933594
2020-01-08,73.01782989501953,151.32855224609375,5.975487232208252,94.59850311279297
2020-01-09,74.56878662109375,153.2191162109375,6.04111385345459,95.05249786376953
2020-01-10,74.73735809326172,152.51011657714844,6.073430061340332,94.15799713134766
2020-01-13,76.33409118652344,154.343994140625,6.263845443725586,94.56500244140625
2020-01-14,75.30332946777344,153.25694274902344,6.1470112800598145,93.47200012207031
2020-01-15,74.98062896728516,154.2494354248047,6.1045026779174805,93.10099792480469
2020-01-16,75.91985321044922,157.07583618164062,6.188027381896973,93.89700317382812
2020-01-17,76.7603530883789,157.95494079589844,6.196727275848389,93.23600006103516
2020-01-21,76.24016571044922,157.38775634765625,6.163417339324951,94.5999984741211
2020-01-22,76.5123062133789,156.63153076171875,6.21735954284668,94.37300109863281
2020-01-23,76.88079071044922,157.59568786621094,6.285721778869629,94.22899627685547
2020-01-24,76.65923309326172,156.0076141357422,6.226557731628418,93.08200073242188
2020-01-27,74.40503692626953,153.39871215820312,5.971012592315674,91.41699981689453
2020-01-28,76.50990295410156,156.4047088623047,6.164163589477539,92.6624984741211
2020-01-29,78.11141967773438,158.8434600830078,6.103756904602051,92.9000015258789
2020-01-30,77.99822998046875,163.32406616210938,6.11046838760376,93.53399658203125
2020-01-31,74.5399169921875,160.91363525390625,5.877295017242432,100.43599700927734
2020-02-03,74.335205078125,164.83651733398438,5.974245071411133,100.20999908447266
2020-02-04,76.78926849365234,170.2623748779297,6.14328145980835,102.4834976196289
2020-02-05,77.41543579101562,170.0543975830078,6.233519077301025,101.99349975585938
2020-02-06,78.32096099853516,173.58023071289062,6.320274829864502,102.5114974975586
2020-02-07,77.25636291503906,173.82606506347656,6.254151821136475,103.96399688720703
2020-02-10,77.62328338623047,178.372802734375,6.537041187286377,106.69550323486328
2020-02-11,77.15496826171875,174.34596252441406,6.659343719482422,107.54000091552734
2020-02-12,78.98723602294922,174.6011962890625,6.774935722351074,108.0
2020-02-13,78.42475128173828,173.6558380126953,6.731185436248779,107.49349975585938
2020-02-14,78.44407653808594,175.2061309814453,7.203745365142822,106.74349975585938
2020-02-18,77.00770568847656,176.98324584960938,7.372286796569824,107.78350067138672
2020-02-19,78.12300872802734,177.51400756835938,7.822969913482666,108.51100158691406
2020-02-20,77.32152557373047,174.80316162109375,7.6738200187683105,107.65499877929688
2020-02-21,75.57136535644531,169.2771759033203,7.3101396560668945,104.79850006103516
2020-02-24,71.9817123413086,161.9787139892578,6.793331623077393,100.4645004272461
2020-02-25,69.54354095458984,159.30580139160156,6.5141706466674805,98.63700103759766
2020-02-26,70.64671325683594,161.29627990722656,6.653378009796143,98.97949981689453
2020-02-27,66.0286865234375,149.93145751953125,6.283014297485352,94.21499633789062
2020-02-28,65.99005126953125,153.56179809570312,6.717552185058594,94.1875
2020-03-02,72.13380432128906,163.77963256835938,6.8757452964782715,97.69750213623047
2020-03-03,69.84285736083984,155.93136596679688,6.613581657409668,95.44950103759766
2020-03-04,73.08250427246094,161.6564178466797,7.076723575592041,98.79149627685547
2020-03-05,70.71189880371094,157.59962463378906,6.797644138336182,96.20149993896484
2020-03-06,69.77284240722656,153.1447296142578,6.617310523986816,95.05449676513672
2020-03-09,64.25436401367188,142.7656707763672,6.104922294616699,90.03050231933594
2020-03-10,68.88206481933594,152.5286102294922,6.4939398765563965,94.59100341796875
2020-03-11,66.48974609375,145.6187744140625,6.130539894104004,91.04299926757812
2020-03-12,59.9235954284668,131.80853271484375,5.380360126495361,83.83049774169922
2020-03-13,67.10293579101562,150.547607421875,5.990503787994385,89.25
2020-03-16,58.470340728759766,128.3583221435547,4.885129928588867,84.4574966430664
2020-03-17,61.04128646850586,138.92689514160156,5.404237270355225,90.39199829101562
2020-03-18,59.5470085144043,133.07864379882812,5.0448174476623535,91.5
2020-03-19,59.09074783325195,135.26821899414062,5.297282695770264,94.04650115966797
2020-03-20,55.33934020996094,130.18775939941406,5.117695331573486,92.30449676513672
2020-03-23,54.16368865966797,128.88916015625,5.290318489074707,95.1415023803711
2020-03-24,59.597694396972656,140.60459899902344,6.197946548461914,97.00499725341797
2020-03-25,59.26939010620117,139.25868225097656,6.1093974113464355,94.29199981689453
2020-03-26,62.38832092285156,147.96942138671875,6.398425102233887,97.77449798583984
2020-03-27,59.80530548095703,141.89369201660156,6.2862467765808105,95.00499725341797
2020-03-30,61.512020111083984,151.87457275390625,6.606119155883789,98.19750213623047
2020-03-31,61.386497497558594,149.4859619140625,6.556621551513672,97.48600006103516
2020-04-01,58.156517028808594,144.17799377441406,6.045970916748047,95.38500213623047
2020-04-02,59.126956939697266,147.1637725830078,6.354401588439941,95.94149780273438
2020-04-03,58.2772216796875,145.808349609375,6.066863536834717,95.32949829101562
2020-04-06,63.361167907714844,156.6517791748047,6.676012992858887,99.87950134277344
2020-04-07,62.62730407714844,154.9645538330078,6.442948818206787,100.58000183105469
2020-04-08,64.23023223876953,156.51905822753906,6.639947414398193,102.1500015258789
2020-04-09,64.6937255859375,156.52857971191406,6.54045295715332,102.13800048828125
2020-04-13,65.96349334716797,156.87925720214844,6.7120795249938965,108.44349670410156
2020-04-14,69.29487609863281,164.64219665527344,7.0627946853637695,114.16600036621094
2020-04-15,68.66239166259766,162.9170684814453,6.985437393188477,115.38400268554688
2020-04-16,69.20796966552734,167.80799865722656,7.330183506011963,120.40950012207031
2020-04-17,68.26891326904297,169.2866668701172,7.270984172821045,118.75
2020-04-20,66.85188293457031,165.93128967285156,7.139902591705322,119.68049621582031
2020-04-21,64.78544616699219,159.0688018798828,6.7036237716674805,116.40599822998047
2020-04-22,66.6515121459961,164.4715576171875,7.117516040802002,118.17449951171875
2020-04-23,66.3932113647461,162.48106384277344,7.064285755157471,119.97250366210938
2020-04-24,68.3099365234375,165.44784545898438,7.2030792236328125,120.51100158691406
2020-04-27,68.35823059082031,164.97393798828125,7.389381408691406,118.80000305175781
2020-04-28,67.25019836425781,160.95504760742188,7.247106075286865,115.7040023803711
2020-04-29,69.45902252197266,168.17764282226562,7.423707485198975,118.635498046875
2020-04-30,70.92435455322266,169.86488342285156,7.269989967346191,123.69999694824219
2020-05-01,69.78251647949219,165.46682739257812,7.03369140625,114.302001953125
2020-05-04,70.76985931396484,169.51416015625,7.245363712310791,115.79949951171875
2020-05-05,71.83201599121094,171.3340606689453,7.306305885314941,115.88999938964844
2020-05-06,72.5731430053711,173.02120971679688,7.407041072845459,117.56300354003906
2020-05-07,73.32389068603516,174.02597045898438,7.583146095275879,118.38050079345703
2020-05-08,75.06912994384766,175.04959106445312,7.772928237915039,118.98049926757812
2020-05-11,76.2503890991211,177.00218200683594,8.02464485168457,120.44999694824219
2020-05-12,75.37896728515625,172.9927520751953,7.762979984283447,117.84750366210938
2020-05-13,74.46882629394531,170.376708984375,7.740593433380127,118.39600372314453
2020-05-14,74.92631530761719,171.11599731445312,7.9898247718811035,119.44249725341797
2020-05-15,74.48335266113281,173.60890197753906,8.447746276855469,120.48899841308594
2020-05-18,76.23828887939453,175.2676239013672,8.705926895141602,121.31300354003906
2020-05-19,75.79772186279297,174.05435180664062,8.760897636413574,122.46649932861328
2020-05-20,77.27185821533203,176.4686737060547,8.924567222595215,124.89700317382812
2020-05-21,76.69575500488281,174.34901428222656,8.73080062866211,122.33699798583984
2020-05-22,77.18956756591797,174.42507934570312,8.980531692504883,121.84400177001953
2020-05-26,76.66671752929688,172.5811004638672,8.673592567443848,121.09300231933594
2020-05-27,77.00074768066406,172.80923461914062,8.482068061828613,120.51950073242188
2020-05-28,77.03462982177734,172.4195098876953,8.444011688232422,120.05500030517578
2020-05-29,76.95960235595703,174.1779327392578,8.830540657043457,122.11849975585938
2020-06-01,77.9060287475586,173.77870178222656,8.761646270751953,123.552001953125
2020-06-02,78.26669311523438,175.75572204589844,8.780547142028809,123.62049865722656
2020-06-03,78.69755554199219,176.18348693847656,8.725081443786621,123.91999816894531
2020-06-04,78.01980590820312,173.86428833007812,8.726078033447266,123.02999877929688
2020-06-05,80.24186706542969,177.932373046875,8.87886905670166,124.1500015258789
2020-06-08,80.71631622314453,179.03494262695312,8.76440143585205,126.2030029296875
2020-06-09,83.26518249511719,180.4036407470703,9.00428581237793,130.04299926757812
2020-06-10,85.40739440917969,187.09510803222656,9.32356071472168,132.37249755859375
2020-06-11,81.30694580078125,177.04843139648438,8.755691528320312,127.89800262451172
2020-06-12,82.00890350341797,178.4456329345703,8.891312599182129,127.2509994506836
2020-06-15,83.02310943603516,179.58628845214844,9.131450653076172,128.63400268554688
2020-06-16,85.22342681884766,183.98703002929688,9.026683807373047,130.7635040283203
2020-06-17,85.10481262207031,184.62387084960938,9.193410873413086,132.0489959716797
2020-06-18,85.13870239257812,186.6008758544922,9.175494194030762,132.69900512695312
2020-06-19,84.65216827392578,185.4888153076172,9.218546867370605,133.75050354003906
2020-06-22,86.86700439453125,190.64048767089844,9.48282241821289,135.6909942626953
2020-06-23,88.72113800048828,191.9141387939453,9.406424522399902,138.2205047607422
2020-06-24,87.15503692626953,188.04562377929688,9.192914009094238,136.72000122070312
2020-06-25,88.31206512451172,190.42184448242188,9.446240425109863,137.72900390625
2020-06-26,85.59861755371094,186.61041259765625,9.112784385681152,134.64349365234375
2020-06-29,87.5713882446289,188.6159210205078,9.157577514648438,134.0189971923828
2020-06-30,88.3023681640625,193.43495178222656,9.45395565032959,137.9409942626953
2020-07-01,88.13536834716797,194.5659942626953,9.486054420471191,143.93499755859375
2020-07-02,88.13536834716797,196.04876708984375,9.567925453186035,144.51499938964844
2020-07-06,90.49299621582031,200.2689666748047,9.793880462646484,152.8520050048828
2020-07-07,90.21222686767578,197.94021606445312,9.826231002807617,150.00599670410156
2020-07-08,92.3132553100586,202.2935333251953,10.168890953063965,154.0554962158203
2020-07-09,92.71024322509766,203.7097930908203,10.460542678833008,159.13150024414062
2020-07-10,92.87242126464844,203.09193420410156,10.430930137634277,160.0
2020-07-13,92.44396209716797,196.81869506835938,10.005898475646973,155.1999969482422
2020-07-14,93.97378540039062,198.0353240966797,10.32915210723877,154.1999969482422
2020-07-15,94.62008666992188,197.7406768798828,10.180091857910156,150.44349670410156
2020-07-16,93.45576477050781,193.8246307373047,10.088019371032715,149.9949951171875
2020-07-17,93.26697540283203,192.83616638183594,10.154458999633789,148.09849548339844
2020-07-20,95.23247528076172,201.12445068359375,10.462286949157715,159.8419952392578
2020-07-21,93.91809844970703,198.41555786132812,10.28087329864502,156.9145050048828
2020-07-22,94.18196105957031,201.26699829101562,10.390617370605469,154.99549865722656
2020-07-23,89.89511108398438,192.51295471191406,10.08304214477539,149.32749938964844
2020-07-24,89.67244720458984,191.33433532714844,10.147494316101074,150.44549560546875
2020-07-27,91.79768371582031,193.7581329345703,10.373448371887207,152.760498046875
2020-07-28,90.2896728515625,192.01866149902344,10.168394088745117,150.01649475097656
2020-07-29,92.0203857421875,193.95770263671875,10.417242050170898,151.67649841308594
2020-07-30,93.13384246826172,193.8056182861328,10.565057754516602,152.593994140625
2020-07-31,102.88390350341797,194.8606414794922,10.565804481506348,158.23399353027344
2020-08-03,105.47631072998047,205.81985473632812,10.95948314666748,155.59449768066406
2020-08-04,106.18070983886719,202.73074340820312,11.175979614257812,156.94149780273438
2020-08-05,106.5655746459961,202.39808654785156,11.234705924987793,160.25149536132812
2020-08-06,110.28357696533203,205.63926696777344,11.283230781555176,161.25
2020-08-07,107.77619934082031,201.9608612060547,11.147859573364258,158.3730010986328
2020-08-10,109.34272003173828,197.94021606445312,11.113515853881836,157.4080047607422
2020-08-11,106.09085845947266,193.31137084960938,10.799970626831055,154.0334930419922
2020-08-12,109.61670684814453,198.83370971679688,11.387496948242188,158.11199951171875
2020-08-13,111.55667877197266,198.36801147460938,11.39023494720459,158.05099487304688
2020-08-14,111.45724487304688,198.55809020996094,11.510676383972168,157.4010009765625
2020-08-17,111.16626739501953,199.86978149414062,12.280111312866211,159.12049865722656
2020-08-18,112.09259033203125,201.01988220214844,12.204214096069336,165.62449645996094
2020-08-19,112.23321533203125,199.80029296875,12.082529067993164,163.0240020751953
2020-08-20,114.7236557006836,204.44992065429688,12.085014343261719,164.86849975585938
2020-08-21,120.63562774658203,202.96359252929688,12.625015258789062,164.23599243164062
2020-08-24,122.07845306396484,203.60194396972656,12.661596298217773,165.3730010986328
2020-08-25,121.07695007324219,206.250732421875,12.691207885742188,167.32449340820312
2020-08-26,122.72347259521484,210.7097930908203,12.714102745056152,172.09249877929688
2020-08-27,121.25640106201172,215.88345336914062,12.570018768310547,170.0
2020-08-28,121.05998992919922,218.1034393310547,13.087124824523926,170.08999633789062
2020-08-31,125.1654052734375,214.88294982910156,13.31282901763916,172.54800415039062
2020-09-01,130.15106201171875,216.54086303710938,13.761385917663574,174.95599365234375
2020-09-02,127.45455169677734,220.71405029296875,14.28462028503418,176.57249450683594
2020-09-03,117.25041961669922,207.04150390625,12.959360122680664,168.39999389648438
2020-09-04,117.32799530029297,204.13551330566406,12.56805419921875,164.7310028076172
2020-09-08,109.43242645263672,193.0926513671875,11.861616134643555,157.49200439453125
2020-09-09,113.79731750488281,201.31521606445312,12.66015911102295,163.4304962158203
2020-09-10,110.08232116699219,195.67471313476562,12.258646965026855,158.7554931640625
2020-09-11,108.63703918457031,194.39796447753906,12.112031936645508,155.81100463867188
2020-09-14,111.89617156982422,195.71282958984375,12.816729545593262,155.14849853515625
2020-09-15,112.07076263427734,198.92372131347656,12.934968948364258,157.80650329589844
2020-09-16,108.76315307617188,195.36984252929688,12.46052360534668,153.90499877929688
2020-09-17,107.02689361572266,193.3308563232422,12.409743309020996,150.43649291992188
2020-09-18,103.63198852539062,190.92984008789062,12.136674880981445,147.74549865722656
2020-09-21,106.77468872070312,192.97830200195312,12.463260650634766,148.02349853515625
2020-09-22,108.45275115966797,197.6279754638672,12.583239555358887,156.44949340820312
2020-09-23,103.903564453125,191.12039184570312,12.071455955505371,149.9929962158203
2020-09-24,104.97054290771484,193.59764099121094,12.294739723205566,150.989501953125
2020-09-25,108.90864562988281,198.00909423828125,12.818222045898438,154.75650024414062
2020-09-28,111.5081558227539,199.55259704589844,12.978775978088379,158.70249938964844
2020-09-29,110.66429901123047,197.47547912597656,13.168704986572266,157.24400329589844
2020-09-30,112.33264923095703,200.4005584716797,13.47214126586914,157.43649291992188
2020-10-01,113.28321838378906,202.43002319335938,13.555777549743652,161.06300354003906
2020-10-02,109.62641906738281,196.45599365234375,13.00590991973877,156.25
2020-10-05,113.0019302368164,200.44821166992188,13.58365535736084,159.9600067138672
2020-10-06,109.76220703125,196.18922424316406,13.677249908447266,154.9980010986328
2020-10-07,111.62457275390625,199.92413330078125,13.903767585754395,159.7845001220703
2020-10-08,111.51787567138672,200.6387481689453,13.779058456420898,159.52749633789062
2020-10-09,113.45780181884766,205.6218719482422,13.703389167785645,164.33250427246094
2020-10-12,120.66471862792969,210.94796752929688,14.16463851928711,172.14649963378906
2020-10-13,117.46378326416016,212.3389892578125,14.186793327331543,172.18150329589844
2020-10-14,117.55109405517578,210.43344116210938,14.034452438354492,168.1855010986328
2020-10-15,117.08551788330078,209.29010009765625,13.909745216369629,166.9324951171875
2020-10-16,115.44625091552734,209.29010009765625,13.751928329467773,163.635498046875
2020-10-19,112.4975357055664,204.10693359375,13.439530372619629,160.36050415039062
2020-10-20,113.98161315917969,204.51666259765625,13.586644172668457,160.85049438476562
2020-10-21,113.36080932617188,204.65951538085938,13.466413497924805,159.2469940185547
2020-10-22,112.27444458007812,204.7452850341797,13.303372383117676,158.82000732421875
2020-10-23,111.58576202392578,206.02200317382812,13.531631469726562,160.22000122070312
2020-10-26,111.59546661376953,200.162353515625,13.084571838378906,160.3520050048828
2020-10-27,113.09891510009766,203.18270874023438,13.338967323303223,164.31649780273438
2020-10-28,107.86105346679688,193.11170959472656,12.572535514831543,158.13900756835938
2020-10-29,111.85736083984375,195.05540466308594,12.967825889587402,160.55050659179688
2020-10-30,105.59132385253906,192.91163635253906,12.479939460754395,151.8074951171875
2020-11-02,105.50402069091797,192.7782745361328,12.526485443115234,150.2239990234375
2020-11-03,107.12388610839844,196.6846466064453,12.963343620300293,152.42050170898438
2020-11-04,111.49846649169922,206.1744384765625,13.73475170135498,162.05799865722656
2020-11-05,115.45594787597656,212.7487335205078,14.098923683166504,166.10000610351562
2020-11-06,115.32479858398438,213.15843200683594,14.499187469482422,165.56849670410156
2020-11-09,113.0219955444336,208.080078125,13.571956634521484,157.18699645996094
2020-11-10,112.68191528320312,201.04844665527344,12.714922904968262,151.75100708007812
2020-11-11,116.10212707519531,206.32693481445312,13.360123634338379,156.8695068359375
2020-11-12,115.83003234863281,205.2693328857422,13.398706436157227,155.51400756835938
2020-11-13,115.87864685058594,206.2887725830078,13.239649772644043,156.4405059814453
2020-11-16,116.8891372680664,206.97482299804688,13.456954956054688,156.55299377441406
2020-11-17,116.00495147705078,204.3356170654297,13.364355087280273,156.7830047607422
2020-11-18,114.68347930908203,201.6416778564453,13.370828628540039,155.2729949951172
2020-11-19,115.2762222290039,202.9217529296875,13.382277488708496,155.8509979248047
2020-11-20,114.0130386352539,200.98251342773438,13.03130054473877,154.97000122070312
2020-11-23,110.62201690673828,200.7150421142578,13.083325386047363,154.91949462890625
2020-11-24,111.90457916259766,204.29739379882812,12.901862144470215,155.9029998779297
